x,y
0,2.1774718223861873
1,5.35050617676585
2,8.192270807792335
3,11.185694908322942
4,13.941763439096254
5,17.181455841452717
6,20.21231618542919
7,23.317248230718626
8,25.86716417959361
9,28.656590890152295
10,32.237628079438636
11,35.246518129139524
12,38.093895567772684
13,41.189655962060975
14,43.859664696513015
15,47.277865203784934
16,49.826840856955435
17,53.29699616002029
18,56.00281711269607
19,58.758044634309954
20,61.793612569179
21,64.65724122399858
22,67.95080028612108
23,71.0402088679325
24,74.25606534551002
25,76.96426770327272
26,80.2737040466469
27,82.71960632030674
28,86.05144110532625
29,88.91757545243344
30,92.03538127994071
31,94.91631810841098
32,97.85325701870838
33,100.73936349119997
34,104.07905113700251
35,107.1518891799889
36,109.65172147545357
37,113.02205863123768
38,116.20693415749963
39,119.22193098537939
40,122.02524701515331
41,125.11604712356609
42,128.3091538574032
43,131.3941201351467
44,134.15367116370027
45,137.02993355615018
46,139.78026167439128
47,143.00819073370903
48,146.062139564632
49,149.296990537312
50,152.3529064916445
51,155.2393475031121
52,158.0235185456685
53,160.9705034905434
54,164.1606859469812
55,167.25713417391245
56,170.30067530518687
57,173.25365925735696
58,175.88544126006929
59,179.19728817319532
60,181.86667704803372
61,184.8764800886048
62,188.1367169049639
63,190.9649471265845
64,194.04724123336865
65,196.8487510791285
66,199.82329976543863
67,202.99708605747702
68,205.87036702258152
69,209.3713112699031
70,212.30834098103801
71,215.30323538824967
72,217.63867500814587
73,221.06139763384144
74,223.9636873855773
75,226.80901078591194
76,229.91105463646437
77,232.89862064631242
78,236.29989099227822
79,238.8257030879477
80,242.20939232619415
81,244.73311664202478
82,247.9772734671174
83,251.0262112359424
84,254.20038646438294
85,256.8650605807854
86,259.99340478987375
87,263.37751865475855
88,265.8073237053791
89,269.08149209117636
90,272.3272839021748
91,275.2493417971236
92,277.8603045556836
93,280.7347099642026
94,283.79648400947406
95,286.6141096638979
96,289.70426920089244
97,292.9975109774385
98,296.196959904828
99,298.90558078676935
100,301.79642892733716
101,305.0010098170148
102,307.9594396483104
103,310.6260491357628
104,314.38278087616175
105,316.98964007742904
106,320.18768891082954
107,322.88564536179
108,325.96835298655907
109,329.16506368076
110,332.08683645144004
111,334.63585600020826
112,338.0686653438426
113,340.6807748096507
114,343.9133333399901
115,347.145727987203
116,350.32911501255035
117,353.2753733159286
118,355.9686399059263
119,358.7756610830317
120,361.999800346247
121,365.13230098857525
122,368.03921666088786
123,370.8238004567508
124,373.78272656243814
125,376.63544363008845
126,380.0175602537684
127,382.62987191305126
128,385.62037918135167
129,389.2650756322451
130,392.15490937286603
131,395.12208807436656
132,398.2146254527288
133,401.03071381339396
134,404.30898731991255
135,406.81899854695445
136,409.6709777754074
137,413.23427981609046
138,416.38094850122945
139,419.1315241885775
140,421.72760402254426
141,425.13376602857676
142,428.15582308717416
143,430.78257444445774
144,433.83748082669666
145,437.2005606827845
146,440.39935845270367
147,443.2681479800825
148,445.7577060378583
149,449.2999352268783
150,451.7488766043408
151,455.24194314343214
152,458.1510333833822
153,461.0231663609074
154,464.24130033874854
155,466.95069478553467
156,469.9685539285545
157,473.0545042643812
158,475.6037371937429
159,479.03857934363396
160,482.1890033101468
161,485.12877323686143
162,487.73744427463714
163,491.1527070256152
164,493.9832280772122
165,496.6954566721883
166,499.8808463062435
167,503.17705684330406
168,506.228430123418
169,509.0703474845215
170,512.3912813549442
171,514.9636362526325
172,517.8402460325462
173,521.2615883408156
174,524.1555829665235
175,527.1760503643899
176,529.8017838547252
177,532.8252703389977
178,535.9820280616361
179,539.1612664166033
180,541.9074490936794
181,545.3366634161904
182,547.6029850415455
183,551.1601260949896
184,553.8379632731389
185,556.9081703946321
186,560.1719409097468
187,562.8735127040031
188,566.2742047622394
189,568.7569613405944
190,572.0711807061656
191,574.9164485840545
192,578.2716551143751
193,581.2738467254114
194,583.7110574686485
195,586.807272459467
196,590.025230500926
197,592.9894602452136
198,595.6090771814427
199,598.7446101593367
200,602.0205754978757
201,605.2887769756833
202,607.9685411138048
203,610.877553986207
204,613.9204615139136
205,617.2512805706262
206,619.8601834967591
207,623.3732434832776
208,625.7579296736802
209,628.7920742874516
210,632.1240758248543
211,635.0063775651978
212,637.9979331416138
213,641.0845075074699
214,644.1122299661675
215,646.705794984359
216,649.8488649226641
217,652.8060135063497
218,655.806885832756
219,659.1127199021006
220,661.8359367927309
221,665.1587492468038
222,668.0206667512185
223,670.9330448670967
224,674.3259864919012
225,676.8968163954439
226,679.943710905317
227,683.2700948667275
228,685.9038375819798
229,689.0242550039302
230,692.0125009260394
231,695.3833723154636
232,697.6238358146351
233,701.3018380539719
234,703.6700552482652
235,706.6793696229172
236,709.8185533989626
237,713.2339355777854
238,716.2487764561475
239,719.1993657287628
240,721.9675969558638
241,724.7592994522676
242,728.3706637182411
243,731.2639211533198
244,734.0624307303553
245,737.3246041078929
246,739.9464950519985
247,742.6294069228943
248,745.7240259863382
249,748.7457702454569
250,752.3082337897017
251,755.378227455753
252,757.6879948983172
253,760.8301342680154
254,763.6724442078433
255,766.9578987772475
256,769.986554313346
257,773.1442271468935
258,775.7291315045431
259,778.9122178629847
260,782.3066873176808
261,784.611026573424
262,787.8489200830194
263,790.8201072752561
264,794.1587007473553
265,796.857309157157
266,799.8987578460036
267,802.8964517986966
268,805.9113581209716
269,808.6418991874904
270,811.6052751154137
271,814.652931012248
272,817.8859248284787
273,820.9382982813855
274,823.7433731917164
275,826.811106237831
276,830.0248072131023
277,832.8245439532865
278,836.2288708892634
279,839.2486230204917
280,841.8679256519441
281,845.2378423613816
282,847.6792538207033
283,850.9764204038441
284,854.0395549757031
285,857.3888180460099
286,860.2538326189659
287,862.6384465729697
288,866.2348298370781
289,869.0372728227198
290,871.8578090353678
291,874.8917274936518
292,877.9511678869245
293,881.1144441389639
294,883.9992485799269
295,887.3666756284678
296,890.3667360748414
297,893.0034587435866
298,895.9068377579993
299,898.9052453684952
300,902.0053198691627
301,905.1803102625445
302,907.9890291273572
303,911.2852944579472
304,914.1743443499695
305,917.3786021884875
306,920.1959173495355
307,922.6278593286729
308,925.9229846413316
309,929.04561414385
310,931.6927638736299
311,935.3936238580244
312,938.0291702325704
313,940.980559372535
314,944.2318362592828
315,946.8233482045874
316,949.9873174827178
317,953.0548732073686
318,955.8347573792203
319,958.7036056496624
320,961.6532277826769
321,965.3020827851844
322,967.7415545218897
323,970.8693746542409
324,973.8184259283901
325,976.9859852378148
326,979.742472297912
327,983.2565197966272
328,986.0642226667073
329,988.8874256470052
330,992.2539907561694
331,994.7087630862455
332,997.7275730344946
333,1001.2775960416102
334,1003.6212077040072
335,1006.9081993482645
336,1010.2143476146716
337,1012.8196373677033
338,1016.1146150688464
339,1018.7750825510018
340,1021.9636336632344
341,1024.8283877709564
342,1027.8426242859532
343,1030.7574425509404
344,1034.0994344829821
345,1036.6995855905363
346,1040.1563177244464
347,1042.9164164223475
348,1046.1311171052246
349,1048.885255357667
350,1051.638565514413
351,1055.1790024475085
352,1057.849790524663
353,1061.3459678925817
354,1064.3255283052117
